record_id,action,editor,date,notes
P1997R0335,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0336,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0360,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0362,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0382,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0409,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0438,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0439,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0464,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0013,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0018,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0035,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0036,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0055,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0067,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0078,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0125,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0172,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0189,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0190,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0199,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0204,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0268,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0276,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0298,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0305,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0332,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0364,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0367,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998R0397,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0056,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0070,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0075,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0087,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0091,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0126,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0143,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0155,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0222,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0223,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0224,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0225,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0233,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0249,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0250,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0259,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0263,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0292,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0296,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0322,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0323,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0346,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0354,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0411,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0412,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0413,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1999R0414,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P2000R0034,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P2000R0035,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P2000R0107,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P2000R0114,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P2000R0157,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
