,xcoord,ycoord,coord_source,grc,grc2,msg,msg2,hnum,sname,house,bbl
172,1003743,0252063,Address Geosupport,00,,,,37,HILLSIDE AVENUE,37,1021700118
173,1053441,0159620,Address Geosupport,00,,,,11-19,FOAM PLACE,19-Nov,4155590058
174,1009129,0240037,Address Geosupport,00,,,,972,WASHINGTON AVENUE,972,2023680012
175,0983703,0212834,Address Geosupport,00,,,,500,WEST 28 STREET,500,1006990037
176,1015196,0257691,Address Geosupport,00,,,,3069,VILLA AVENUE,3069,2033210059
177,1015191,0257658,Address Geosupport,00,,,,3054,VILLA AVENUE,3054,2033210059
178,1010939,0249884,Address Geosupport,00,,,,2050,GRAND CONCOURSE,2050,2031560001
179,0999357,0238393,Address Geosupport,00,,,,349,WEST 141 STREET,349,1020510006
180,1023434,0182887,Address Geosupport,00,,,,583,EMERALD STREET,583,3044960001
181,1024731,0244894,Address Geosupport,00,,,,1611,PURDY STREET,1611. 1701,2039470088
182,1026225,0207998,Address Geosupport,00,,,,110-41,COLONIAL AVENUE,110-41,4021590002
183,1026050,0207543,Address Geosupport,00,,,,108-75,62 DRIVE,108-75,4021590002
184,1014943,0185868,Address Geosupport,00,,,,2840,ATLANTIC AVENUE,2840,3039640008
185,1009995,0241120,Address Geosupport,00,,,,3401,3 AVENUE,3401,2023710052
186,1002537,0221597,Address Geosupport,00,,,,3-24,27 AVENUE,24-Mar,4004900090
